"","Stadtbezirk","Bezirksname","variable","value"
"133",96,"Hiltrup-Mitte","01-01-2012","40"
"134",97,"Hiltrup-West","01-01-2012","105"
"135",98,"Amelsbüren","01-01-2012","38"
"136",11,"Aegidii","01-01-2013","- "
"137",12,"Überwasser","01-01-2013","- "
"138",13,"Dom","01-01-2013","2"
"139",14,"Buddenturm","01-01-2013","2"
"140",15,"Martini","01-01-2013","1"
"141",21,"Pluggendorf","01-01-2013","35"
"142",22,"Josef","01-01-2013","261"
"143",23,"Bahnhof","01-01-2013","- "
"144",24,"Hansaplatz","01-01-2013","3"
"145",25,"Mauritz-West","01-01-2013","46"
"146",26,"Schlachthof","01-01-2013","58"
"147",27,"Kreuz","01-01-2013","27"
"148",28,"Neutor","01-01-2013","6"
"149",29,"Schloss","01-01-2013","4"
"150",31,"Aaseestadt","01-01-2013","27"
"151",32,"Geist","01-01-2013","21"
"152",33,"Schützenhof","01-01-2013","43"
"153",34,"Düesberg","01-01-2013","33"
"154",43,"Hafen","01-01-2013","1"
"155",44,"Herz-Jesu","01-01-2013","18"
"156",45,"Mauritz-Mitte","01-01-2013","65"
"157",46,"Rumphorst","01-01-2013","13"
"158",47,"Uppenberg","01-01-2013","61"
"159",51,"Gievenbeck","01-01-2013","344"
"160",52,"Sentrup","01-01-2013","149"
"161",54,"Mecklenbeck","01-01-2013","229"
"162",56,"Albachten","01-01-2013","53"
"163",57,"Roxel","01-01-2013","52"
"164",58,"Nienberge","01-01-2013","15"
"165",61,"Coerde","01-01-2013","9"
"166",62,"Kinderhaus-Ost","01-01-2013","11"
"167",63,"Kinderhaus-West","01-01-2013","37"
"168",68,"Sprakel","01-01-2013","22"
"169",71,"Mauritz-Ost","01-01-2013","40"
"170",76,"Gelmer-Dyckburg","01-01-2013","17"
"171",77,"Handorf","01-01-2013","56"
"172",81,"Gremmendorf-West","01-01-2013","18"
"173",82,"Gremmendorf-Ost","01-01-2013","19"
"174",86,"Angelmodde","01-01-2013","35"
"175",87,"Wolbeck","01-01-2013","32"
"176",91,"Berg Fidel","01-01-2013","12"
"177",95,"Hiltrup-Ost","01-01-2013","5"
"178",96,"Hiltrup-Mitte","01-01-2013","14"
"179",97,"Hiltrup-West","01-01-2013","54"
"180",98,"Amelsbüren","01-01-2013","10"
"181",11,"Aegidii","01-01-2014","1"
"182",12,"Überwasser","01-01-2014","-"
"183",13,"Dom","01-01-2014","1"
"184",14,"Buddenturm","01-01-2014","2"
"185",15,"Martini","01-01-2014","-"
"186",21,"Pluggendorf","01-01-2014","40"
"187",22,"Josef","01-01-2014","12"
"188",23,"Bahnhof","01-01-2014","25"
"189",24,"Hansaplatz","01-01-2014","37"
"190",25,"Mauritz-West","01-01-2014","15"
"191",26,"Schlachthof","01-01-2014","64"
"192",27,"Kreuz","01-01-2014","8"
"193",28,"Neutor","01-01-2014","77"
"194",29,"Schloss","01-01-2014","16"
"195",31,"Aaseestadt","01-01-2014","16"
"196",32,"Geist","01-01-2014","17"
"197",33,"Schützenhof","01-01-2014","61"
"198",34,"Düesberg","01-01-2014","17"
"199",43,"Hafen","01-01-2014","-"
"200",44,"Herz-Jesu","01-01-2014","48"
"201",45,"Mauritz-Mitte","01-01-2014","38"
"202",46,"Rumphorst","01-01-2014","5"
"203",47,"Uppenberg","01-01-2014","17"
"204",51,"Gievenbeck","01-01-2014","29"
"205",52,"Sentrup","01-01-2014","25"
"206",54,"Mecklenbeck","01-01-2014","239"
"207",56,"Albachten","01-01-2014","65"
"208",57,"Roxel","01-01-2014","78"
"209",58,"Nienberge","01-01-2014","8"
"210",61,"Coerde","01-01-2014","31"
"211",62,"Kinderhaus-Ost","01-01-2014","6"
"212",63,"Kinderhaus-West","01-01-2014","75"
"213",68,"Sprakel","01-01-2014","10"
"214",71,"Mauritz-Ost","01-01-2014","53"
"215",76,"Gelmer-Dyckburg","01-01-2014","21"
"216",77,"Handorf","01-01-2014","31"
"217",81,"Gremmendorf-West","01-01-2014","4"
"218",82,"Gremmendorf-Ost","01-01-2014","27"
"219",86,"Angelmodde","01-01-2014","48"
"220",87,"Wolbeck","01-01-2014","72"
"221",91,"Berg Fidel","01-01-2014","9"
"222",95,"Hiltrup-Ost","01-01-2014","7"
"223",96,"Hiltrup-Mitte","01-01-2014","25"
"224",97,"Hiltrup-West","01-01-2014","59"
"225",98,"Amelsbüren","01-01-2014","8"
